x,y,z
-8.049266934394836e-07,-5.378348231315612e-07,-1.9749347686767577e-05
-7.797123789787292e-07,-5.209871530532836e-07,-2.034730529785156e-05
-7.797123789787292e-07,-5.209871530532836e-07,-1.9652694702148435e-05
-6.270776391029358e-07,-7.640963196754456e-07,-2.9151428222656247e-05
-6.335790157318115e-07,-7.72018313407898e-07,-2.9050649642944336e-05
-6.335790157318115e-07,-7.72018313407898e-07,-2.8949350357055664e-05
-6.270776391029358e-07,-7.640963196754456e-07,-2.884857177734375e-05
-5.491635799407959e-07,-8.218813538551331e-07,-2.9151428222656247e-05
-5.548571348190307e-07,-8.304024338722228e-07,-2.9050649642944336e-05
-5.548571348190307e-07,-8.304024338722228e-07,-2.8949350357055664e-05
-5.491635799407959e-07,-8.218813538551331e-07,-2.884857177734375e-05
-5.378348231315612e-07,-8.049266934394836e-07,-2.925065231323242e-05
-5.378348231315612e-07,-8.049266934394836e-07,-2.8749347686767576e-05
-5.209871530532836e-07,-7.797123789787292e-07,-2.934730529785156e-05
-5.209871530532836e-07,-7.797123789787292e-07,-2.8652694702148437e-05
-6.335790157318115e-07,-7.72018313407898e-07,-2.2050649642944336e-05
-6.335790157318115e-07,-7.72018313407898e-07,-2.1949350357055663e-05
-6.270776391029358e-07,-7.640963196754456e-07,-2.215142822265625e-05
-6.270776391029358e-07,-7.640963196754456e-07,-2.184857177734375e-05
-6.335790157318115e-07,-7.72018313407898e-07,-2.0050649642944334e-05
-6.335790157318115e-07,-7.72018313407898e-07,-1.9949350357055662e-05
-6.270776391029358e-07,-7.640963196754456e-07,-2.015142822265625e-05
-6.270776391029358e-07,-7.640963196754456e-07,-1.9848571777343748e-05
-5.548571348190307e-07,-8.304024338722228e-07,-2.2050649642944336e-05
-5.548571348190307e-07,-8.304024338722228e-07,-2.1949350357055663e-05
-5.491635799407959e-07,-8.218813538551331e-07,-2.215142822265625e-05
-5.491635799407959e-07,-8.218813538551331e-07,-2.184857177734375e-05
-5.548571348190307e-07,-8.304024338722228e-07,-2.0050649642944334e-05
-5.548571348190307e-07,-8.304024338722228e-07,-1.9949350357055662e-05
-5.491635799407959e-07,-8.218813538551331e-07,-2.015142822265625e-05
-5.491635799407959e-07,-8.218813538551331e-07,-1.9848571777343748e-05
-5.378348231315612e-07,-8.049266934394836e-07,-2.225065231323242e-05
-5.378348231315612e-07,-8.049266934394836e-07,-2.174934768676758e-05
-5.209871530532836e-07,-7.797123789787292e-07,-2.2347305297851562e-05
-5.209871530532836e-07,-7.797123789787292e-07,-2.1652694702148436e-05
-5.378348231315612e-07,-8.049266934394836e-07,-2.0250652313232423e-05
-5.378348231315612e-07,-8.049266934394836e-07,-1.9749347686767577e-05
-5.209871530532836e-07,-7.797123789787292e-07,-2.034730529785156e-05
-5.209871530532836e-07,-7.797123789787292e-07,-1.9652694702148435e-05
-6.989526748657226e-07,-6.989526748657226e-07,-2.9151428222656247e-05
-7.061992287635803e-07,-7.061992287635803e-07,-2.9050649642944336e-05
-7.061992287635803e-07,-7.061992287635803e-07,-2.8949350357055664e-05
-6.989526748657226e-07,-6.989526748657226e-07,-2.884857177734375e-05
-6.845338940620422e-07,-6.845338940620422e-07,-2.925065231323242e-05
-6.630908846855163e-07,-6.630908846855163e-07,-2.934730529785156e-05
-6.845338940620422e-07,-6.845338940620422e-07,-2.8749347686767576e-05
-6.630908846855163e-07,-6.630908846855163e-07,-2.8652694702148437e-05
-6.348437070846557e-07,-6.348437070846557e-07,-2.9440393447875977e-05
-6.348437070846557e-07,-6.348437070846557e-07,-2.8559606552124024e-05
