x,y,z
0.0,0.0,-4.9999999999999996e-05
1e-06,0.0,-4.9999999999999996e-05
1e-06,0.0,4.9999999999999996e-05
0.0,0.0,4.9999999999999996e-05
9.807852804032304e-07,1.9509032201612823e-07,-4.9999999999999996e-05
9.807852804032304e-07,1.9509032201612823e-07,4.9999999999999996e-05
9.238795325112867e-07,3.826834323650898e-07,-4.9999999999999996e-05
9.238795325112867e-07,3.826834323650898e-07,4.9999999999999996e-05
8.314696123025452e-07,5.555702330196022e-07,-4.9999999999999996e-05
8.314696123025452e-07,5.555702330196022e-07,4.9999999999999996e-05
7.071067811865476e-07,7.071067811865475e-07,-4.9999999999999996e-05
7.071067811865476e-07,7.071067811865475e-07,4.9999999999999996e-05
5.555702330196023e-07,8.314696123025452e-07,-4.9999999999999996e-05
5.555702330196023e-07,8.314696123025452e-07,4.9999999999999996e-05
3.8268343236508983e-07,9.238795325112867e-07,-4.9999999999999996e-05
3.8268343236508983e-07,9.238795325112867e-07,4.9999999999999996e-05
1.9509032201612831e-07,9.807852804032304e-07,-4.9999999999999996e-05
1.9509032201612831e-07,9.807852804032304e-07,4.9999999999999996e-05
6.123233995736766e-23,1e-06,-4.9999999999999996e-05
6.123233995736766e-23,1e-06,4.9999999999999996e-05
-1.9509032201612818e-07,9.807852804032304e-07,-4.9999999999999996e-05
-1.9509032201612818e-07,9.807852804032304e-07,4.9999999999999996e-05
-3.826834323650897e-07,9.238795325112867e-07,-4.9999999999999996e-05
-3.826834323650897e-07,9.238795325112867e-07,4.9999999999999996e-05
-5.55570233019602e-07,8.314696123025454e-07,-4.9999999999999996e-05
-5.55570233019602e-07,8.314696123025454e-07,4.9999999999999996e-05
-7.071067811865475e-07,7.071067811865476e-07,-4.9999999999999996e-05
-7.071067811865475e-07,7.071067811865476e-07,4.9999999999999996e-05
-8.314696123025453e-07,5.555702330196022e-07,-4.9999999999999996e-05
-8.314696123025453e-07,5.555702330196022e-07,4.9999999999999996e-05
-9.238795325112867e-07,3.826834323650899e-07,-4.9999999999999996e-05
-9.238795325112867e-07,3.826834323650899e-07,4.9999999999999996e-05
-9.807852804032304e-07,1.950903220161286e-07,-4.9999999999999996e-05
-9.807852804032304e-07,1.950903220161286e-07,4.9999999999999996e-05
-1e-06,1.2246467991473532e-22,-4.9999999999999996e-05
-1e-06,1.2246467991473532e-22,4.9999999999999996e-05
-9.807852804032304e-07,-1.9509032201612834e-07,-4.9999999999999996e-05
-9.807852804032304e-07,-1.9509032201612834e-07,4.9999999999999996e-05
-9.238795325112868e-07,-3.8268343236508967e-07,-4.9999999999999996e-05
-9.238795325112868e-07,-3.8268343236508967e-07,4.9999999999999996e-05
-8.314696123025454e-07,-5.55570233019602e-07,-4.9999999999999996e-05
-8.314696123025454e-07,-5.55570233019602e-07,4.9999999999999996e-05
-7.071067811865477e-07,-7.071067811865475e-07,-4.9999999999999996e-05
-7.071067811865477e-07,-7.071067811865475e-07,4.9999999999999996e-05
-5.555702330196022e-07,-8.314696123025452e-07,-4.9999999999999996e-05
-5.555702330196022e-07,-8.314696123025452e-07,4.9999999999999996e-05
-3.826834323650903e-07,-9.238795325112865e-07,-4.9999999999999996e-05
-3.826834323650903e-07,-9.238795325112865e-07,4.9999999999999996e-05
-1.9509032201612866e-07,-9.807852804032302e-07,-4.9999999999999996e-05
-1.9509032201612866e-07,-9.807852804032302e-07,4.9999999999999996e-05
-1.8369701987210296e-22,-1e-06,-4.9999999999999996e-05
-1.8369701987210296e-22,-1e-06,4.9999999999999996e-05
1.950903220161283e-07,-9.807852804032304e-07,-4.9999999999999996e-05
1.950903220161283e-07,-9.807852804032304e-07,4.9999999999999996e-05
3.8268343236509e-07,-9.238795325112866e-07,-4.9999999999999996e-05
3.8268343236509e-07,-9.238795325112866e-07,4.9999999999999996e-05
5.555702330196019e-07,-8.314696123025454e-07,-4.9999999999999996e-05
5.555702330196019e-07,-8.314696123025454e-07,4.9999999999999996e-05
7.071067811865474e-07,-7.071067811865477e-07,-4.9999999999999996e-05
7.071067811865474e-07,-7.071067811865477e-07,4.9999999999999996e-05
8.314696123025452e-07,-5.555702330196022e-07,-4.9999999999999996e-05
8.314696123025452e-07,-5.555702330196022e-07,4.9999999999999996e-05
9.238795325112865e-07,-3.8268343236509036e-07,-4.9999999999999996e-05
9.238795325112865e-07,-3.8268343236509036e-07,4.9999999999999996e-05
9.807852804032302e-07,-1.950903220161287e-07,-4.9999999999999996e-05
9.807852804032302e-07,-1.950903220161287e-07,4.9999999999999996e-05
